OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,795,654,812,637,468,64,113,856,926,511
+,1468,548,16,647,527,588,247,735,147,298
+,478,1,629,361,246,584,426,191,680,684
+,807,536,998,369,69,976,538,557,519,805
+,1505,567,20,399,894,481,44,650,396,382
+,1279,765,16,365,807,69,353,246,750,672
+,1143,106,790,595,752,774,340,136,45,360
+,1432,346,833,658,179,850,797,701,475,712
+,83,646,186,830,138,64,733,794,966,468
+,1956,300,206,44,810,204,907,42,323,955
+,1581,527,407,834,556,484,259,37,771,662
+,1326,292,365,882,799,48,886,671,339,279
+,1023,818,376,447,910,409,761,450,916,979
+,896,347,997,191,508,708,509,376,946,816
+,770,273,820,84,744,434,80,440,616,842
+,1147,558,300,328,105,81,335,676,302,313
+,1834,617,734,436,170,706,454,359,457,43
+,1905,890,933,361,629,445,281,654,810,970
+,1065,76,687,652,415,372,525,820,767,695
+,1458,975,31,146,869,622,694,800,448,35
+,997,68,241,797,660,375,370,392,972,580
+,792,619,157,695,460,971,379,380,454,781
+,769,587,140,542,375,407,321,665,285,255
+,1257,116,26,753,190,511,530,396,935,575
+,352,268,793,266,720,456,219,626,292,710
+,266,502,204,125,138,873,75,462,176,920
+,1682,455,89,829,698,990,865,327,683,355
+,42,66,563,555,297,912,307,871,161,728
+,528,949,717,653,178,812,370,520,229,124
+,97,811,142,242,809,505,26,369,567,586
+,1071,478,822,564,132,626,905,88,67,316
+,1867,734,736,490,538,420,787,419,843,588
+,1013,128,995,324,657,75,460,477,696,529
+,1411,131,899,848,798,564,655,601,186,786
+,1564,132,443,514,932,889,56,851,127,530
+,830,311,168,165,330,957,726,230,354,970
+,838,531,916,290,866,80,256,201,650,979
+,1123,281,128,640,310,629,546,95,514,656
+,701,606,964,594,157,175,674,639,737,923
+,342,345,862,946,577,42,845,884,29,83
+,1672,971,656,789,590,271,666,215,785,585
+,1796,632,654,31,509,910,642,558,296,657
+,802,309,494,250,824,826,701,415,304,464
+,827,705,61,161,450,425,495,475,208,348
+,1293,147,320,882,735,326,751,881,353,998
+,1668,133,778,379,527,575,108,326,247,477
+,1619,273,460,253,144,99,51,297,968,393
+,1715,630,428,254,985,886,923,163,833,335
+,1675,591,738,320,194,781,163,510,527,478
+,1892,900,315,509,23,92,967,402,517,468
+,137,246,220,597,361,49,51,288,506,611
+,215,863,669,688,481,292,549,8,867,110
+,1160,137,903,270,744,374,782,412,374,46
+,27,52,583,575,199,371,566,295,75,395
+,276,461,782,563,286,845,638,696,625,121
+,1621,998,99,403,382,813,347,571,961,374
+,1925,147,203,616,521,411,512,41,46,39
+,1987,730,341,823,485,531,467,152,620,914
+,1389,143,335,953,627,326,166,402,631,757
+,422,306,607,344,519,848,521,545,501,725
+,264,306,486,835,17,377,339,689,112,426
+,172,315,815,920,742,893,704,644,27,611
+,315,271,990,671,801,995,794,592,591,233
+,731,52,597,491,174,536,644,738,634,793
+,253,389,151,841,697,248,32,586,970,717
+,964,195,19,451,321,428,155,422,707,208
+,399,513,793,626,942,482,893,868,753,744
+,1797,722,141,531,212,574,332,678,489,538
+,1231,321,979,177,470,934,545,350,559,362
+,251,790,888,738,697,658,822,709,270,624
+,354,196,980,252,285,571,305,230,964,996
+,1959,789,295,721,212,706,721,500,324,491
+,1885,573,956,956,814,738,280,294,124,587
+,874,556,388,917,404,838,353,977,791,823
+,1803,297,43,294,978,731,80,354,946,452
+,1066,262,765,490,219,206,847,551,277,955
+,1353,712,278,140,111,630,758,600,245,248
+,1246,685,926,543,231,653,238,53,102,423
+,1523,734,483,102,697,789,140,5,987,563
+,855,161,416,668,957,901,899,487,488,666
+,1937,774,987,294,328,292,661,60,929,787
+,183,667,587,237,547,756,740,870,959,38
